Date,BTC,ETH,ADA
9/17/2014,0,0,0
9/18/2014,-7.192557612,,
9/19/2014,-6.984264497,,
9/20/2014,3.573491641,,
9/21/2014,-2.465854456,,
9/22/2014,0.835210177,,
9/23/2014,8.36474177,,
9/24/2014,-2.888081427,,
9/25/2014,-2.748309181,,
9/26/2014,-1.736994371,,
9/27/2014,-1.212832774,,
9/28/2014,-5.591457202,,
9/29/2014,-0.454420902,,
9/30/2014,3.056723861,,
10/1/2014,-0.860333795,,
10/2/2014,-2.226972203,,
10/3/2014,-4.148536274,,
10/4/2014,-8.524332056,,
10/5/2014,-2.540848725,,
10/6/2014,2.985554244,,
10/7/2014,1.85046656,,
10/8/2014,4.983235555,,
10/9/2014,3.424377661,,
10/10/2014,-0.948970564,,
10/11/2014,0.203837648,,
10/12/2014,4.485245473,,
10/13/2014,3.134333983,,
10/14/2014,2.678180998,,
10/15/2014,-1.520938178,,
10/16/2014,-3.094692439,,
10/17/2014,0.314201267,,
10/18/2014,2.002301082,,
10/19/2014,-0.484361966,,
10/20/2014,-1.720204795,,
10/21/2014,0.948165678,,
10/22/2014,-0.858274545,,
10/23/2014,-6.457126819,,
10/24/2014,-0.020085822,,
10/25/2014,-3.090319403,,
10/26/2014,2.140407343,,
10/27/2014,-0.48350068,,
10/28/2014,1.311371635,,
10/29/2014,-6.159367647,,
10/30/2014,2.894591691,,
10/31/2014,-2.022553524,,
11/1/2014,-3.716003726,,
11/2/2014,0.043900489,,
11/3/2014,0.509981009,,
11/4/2014,0.896957121,,
11/5/2014,2.721393522,,
11/6/2014,2.887900037,,
11/7/2014,-1.96827846,,
11/8/2014,0.897448425,,
11/9/2014,5.145186131,,
11/10/2014,1.007532682,,
11/11/2014,0.210124188,,
11/12/2014,15.19356972,,
11/13/2014,-0.667204764,,
11/14/2014,-5.446894838,,
11/15/2014,-5.450984614,,
11/16/2014,3.123627291,,
11/17/2014,-0.122201859,,
11/18/2014,-3.151713912,,
11/19/2014,1.427778061,,
11/20/2014,-5.968912992,,
11/21/2014,-1.953947147,,
11/22/2014,0.590575277,,
11/23/2014,4.151927928,,
11/24/2014,2.53772803,,
11/25/2014,-0.412046956,,
11/26/2014,-1.859073966,,
11/27/2014,0.352911018,,
11/28/2014,1.833250562,,
11/29/2014,-0.253951744,,
11/30/2014,0.680708677,,
12/1/2014,0.316891288,,
12/2/2014,0.545823235,,
12/3/2014,-1.653486634,,
12/4/2014,-1.441563094,,
12/5/2014,1.961558837,,
12/6/2014,-0.549019031,,
12/7/2014,0.082713422,,
12/8/2014,-3.51537732,,
12/9/2014,-2.677469361,,
12/10/2014,-1.662035267,,
12/11/2014,1.195565925,,
12/12/2014,0.580868838,,
12/13/2014,-1.465353125,,
12/14/2014,1.22518001,,
12/15/2014,-1.787945211,,
12/16/2014,-5.294123105,,
12/17/2014,-2.227715369,,
12/18/2014,-2.620585933,,
12/19/2014,2.070351283,,
12/20/2014,3.81100326,,
12/21/2014,-2.761885456,,
12/22/2014,3.441870212,,
12/23/2014,0.809315491,,
12/24/2014,-3.598028145,,
12/25/2014,-1.093218401,,
12/26/2014,2.794919163,,
12/27/2014,-3.67798764,,
12/28/2014,0.435634142,,
12/29/2014,-1.440239095,,
12/30/2014,-0.618228105,,
12/31/2014,3.043085862,,
1/1/2015,-1.856380504,,
1/2/2015,0.249171841,,
1/3/2015,-10.77668643,,
1/4/2015,-6.007852996,,
1/5/2015,3.890683554,,
1/6/2015,4.268162537,,
1/7/2015,2.847073204,,
1/8/2015,-3.733137999,,
1/9/2015,2.491270668,,
1/10/2015,-5.375884984,,
1/11/2015,-3.324643238,,
1/12/2015,0.804030065,,
1/13/2015,-15.65930752,,
1/14/2015,-21.1448622,,
1/15/2015,17.82170871,,
1/16/2015,-0.832520372,,
1/17/2015,-4.246580006,,
1/18/2015,5.560077439,,
1/19/2015,2.149857042,,
1/20/2015,-1.650364713,,
1/21/2015,7.3738261,,
1/22/2015,2.868703689,,
1/23/2015,-0.225790291,,
1/24/2015,6.427373203,,
1/25/2015,2.368800993,,
1/26/2015,7.786199411,,
1/27/2015,-3.655931699,,
1/28/2015,-11.21928537,,
1/29/2015,-0.171854225,,
1/30/2015,-3.035375925,,
1/31/2015,-3.957601182,,
2/1/2015,4.372215817,,
2/2/2015,4.959644271,,
2/3/2015,-4.601034433,,
2/4/2015,-0.182607578,,
2/5/2015,-4.294412918,,
2/6/2015,2.374368079,,
2/7/2015,2.469109598,,
2/8/2015,-1.906440827,,
2/9/2015,-1.477987736,,
2/10/2015,-0.123118486,,
