Date,BTC,ETH,ADA
9/17/2014,457.3340149,,
9/18/2014,424.4400024,,
9/19/2014,394.79599,,
9/20/2014,408.9039917,,
9/21/2014,398.8210144,,
9/22/2014,402.1520081,,
9/23/2014,435.7909851,,
9/24/2014,423.2049866,,
9/25/2014,411.5740051,,
9/26/2014,404.4249878,,
9/27/2014,399.519989,,
9/28/2014,377.1809998,,
9/29/2014,375.4670105,,
9/30/2014,386.9440002,,
10/1/2014,383.6149902,,
10/2/2014,375.071991,,
10/3/2014,359.5119934,,
10/4/2014,328.8659973,,
10/5/2014,320.5100098,,
10/6/2014,330.07901,,
10/7/2014,336.1870117,,
10/8/2014,352.9400024,,
10/9/2014,365.026001,,
10/10/2014,361.5620117,,
10/11/2014,362.2990112,,
10/12/2014,378.5490112,,
10/13/2014,390.4140015,,
10/14/2014,400.8699951,,
10/15/2014,394.7730103,,
10/16/2014,382.5559998,,
10/17/2014,383.7579956,,
10/18/2014,391.4419861,,
10/19/2014,389.54599,,
10/20/2014,382.8450012,,
10/21/2014,386.4750061,,
10/22/2014,383.1579895,,
10/23/2014,358.4169922,,
10/24/2014,358.3450012,,
10/25/2014,347.2709961,,
10/26/2014,354.70401,,
10/27/2014,352.9890137,,
10/28/2014,357.6180115,,
10/29/2014,335.5910034,,
10/30/2014,345.3049927,,
10/31/2014,338.3210144,,
11/1/2014,325.7489929,,
11/2/2014,325.8919983,,
11/3/2014,327.5539856,,
11/4/2014,330.4920044,,
11/5/2014,339.4859924,,
11/6/2014,349.2900085,,
11/7/2014,342.4150085,,
11/8/2014,345.4880066,,
11/9/2014,363.2640076,,
11/10/2014,366.9240112,,
11/11/2014,367.6950073,,
11/12/2014,423.5610046,,
11/13/2014,420.7349854,,
11/14/2014,397.8179932,,
11/15/2014,376.1329956,,
11/16/2014,387.8819885,,
11/17/2014,387.4079895,,
11/18/2014,375.197998,,
11/19/2014,380.5549927,,
11/20/2014,357.8399963,,
11/21/2014,350.8479919,,
11/22/2014,352.9200134,,
11/23/2014,367.572998,,
11/24/2014,376.901001,,
11/25/2014,375.3479919,,
11/26/2014,368.3699951,,
11/27/2014,369.6700134,,
11/28/2014,376.446991,,
11/29/2014,375.4909973,,
11/30/2014,378.0469971,,
12/1/2014,379.2449951,,
12/2/2014,381.3150024,,
12/3/2014,375.0100098,,
12/4/2014,369.6040039,,
12/5/2014,376.8540039,,
12/6/2014,374.7850037,,
12/7/2014,375.0950012,,
12/8/2014,361.9089966,,
12/9/2014,352.2189941,,
12/10/2014,346.3649902,,
12/11/2014,350.506012,,
12/12/2014,352.5419922,,
12/13/2014,347.3760071,,
12/14/2014,351.6319885,,
12/15/2014,345.3450012,,
12/16/2014,327.0620117,,
12/17/2014,319.776001,,
12/18/2014,311.3959961,,
12/19/2014,317.8429871,,
12/20/2014,329.9559937,,
12/21/2014,320.8429871,,
12/22/2014,331.8859863,,
12/23/2014,334.571991,,
12/24/2014,322.5339966,,
12/25/2014,319.0079956,,
12/26/2014,327.9240112,,
12/27/2014,315.8630066,,
12/28/2014,317.2390137,,
12/29/2014,312.6700134,,
12/30/2014,310.7369995,,
12/31/2014,320.1929932,,
1/1/2015,314.2489929,,
1/2/2015,315.0320129,,
1/3/2015,281.0820007,,
1/4/2015,264.1950073,,
1/5/2015,274.473999,,
1/6/2015,286.1889954,,
1/7/2015,294.3370056,,
1/8/2015,283.348999,,
1/9/2015,290.4079895,,
1/10/2015,274.79599,,
1/11/2015,265.6600037,,
1/12/2015,267.79599,,
1/13/2015,225.8609924,,
1/14/2015,178.1029968,,
1/15/2015,209.8439941,,
1/16/2015,208.0970001,,
1/17/2015,199.2599945,,
1/18/2015,210.3390045,,
1/19/2015,214.8609924,,
1/20/2015,211.3150024,,
1/21/2015,226.8970032,,
1/22/2015,233.4060059,,
1/23/2015,232.8789978,,
1/24/2015,247.8470001,,
1/25/2015,253.7180023,,
1/26/2015,273.4729919,,
1/27/2015,263.4750061,,
1/28/2015,233.9149933,,
1/29/2015,233.5130005,,
1/30/2015,226.4250031,,
1/31/2015,217.4640045,,
2/1/2015,226.9720001,,
2/2/2015,238.2290039,,
2/3/2015,227.2680054,,
2/4/2015,226.8529968,,
2/5/2015,217.1109924,,
2/6/2015,222.2660065,,
2/7/2015,227.7539978,,
2/8/2015,223.4120026,,
2/9/2015,220.1100006,,
2/10/2015,219.8390045,,
2/11/2015,219.1849976,,
2/12/2015,221.7640076,,
2/13/2015,235.427002,,
2/14/2015,257.3210144,,
2/15/2015,234.8249969,,
2/16/2015,233.8430023,,
2/17/2015,243.6100006,,
2/18/2015,236.326004,,
2/19/2015,240.2830048,,
